displayName;givenName;surname;city;country
Grégoire Cloutier;Grégoire;Cloutier;ROUEN;FR
Viollette Ratté;Viollette;Ratté;VERNON;FR
Mason Chaussée;Mason;Chaussée;JEHONVILLE;BE
Philip Grondin;Philip;Grondin;MARTOUZIN-NEUVILLE;BE
Honoré Garreau;Honoré;Garreau;LYON;FR
Armand Moïse;Armand;Moïse;WÄNDHÜSLEN;CH
Heloise Daigle;Heloise;Daigle;KAULILLE;BE
Natalie Chartré;Natalie;Chartré;PANTIN;FR
Edmee Goguen;Edmee;Goguen;SAINT-CHAMOND;FR
Cosette Quenneville;Cosette;Quenneville;THYS;BE
Hugues Martineau;Hugues;Martineau;MONTLUÇON;FR
Emmeline Brian;Emmeline;Brian;EIGENTHAL;CH
Hortense LaGrande;Hortense;LaGrande;AU;CH
Delmare Bienvenue;Delmare;Bienvenue;AUTREPPE;BE
Tristan Lamoureux;Tristan;Lamoureux;STABIO;CH
Maureen Raymond;Maureen;Raymond;PONT-DE-LOUP;BE
Mavise Labbé;Mavise;Labbé;PERWEZ-HAILLOT;BE
Fusberta D'Avis;Fusberta;D'Avis;CAMBRAI;FR
Courtland Arpin;Courtland;Arpin;BRUSSEL;BE
Telford De La Ronde;Telford;De La Ronde;PAILHE;BE
Lance Pépin;Lance;Pépin;ZELLIK;BE
Adrienne Saucier;Adrienne;Saucier;LYON;FR
Joséphine Lamarre;Joséphine;Lamarre;WATTRIPONT;BE
Jeanne Longpré;Jeanne;Longpré;ÉTAMPES;FR
Barry Royer;Barry;Royer;AIX-LES-BAINS;FR
Guy Lafrenière;Guy;Lafrenière;WIEZE;BE
Gay Desnoyers;Gay;Desnoyers;STABROEK;BE
Fanchon Déziel;Fanchon;Déziel;RAVISCÈ;CH
Constance Tremblay;Constance;Tremblay;METZ;FR
Valiant Boucher;Valiant;Boucher;HEIMISWIL;CH
Beltane Grondin;Beltane;Grondin;SAINT-SÉBASTIEN-SUR-LOIRE;FR
Aurélie Arsenault;Aurélie;Arsenault;BREE;BE
Mallory Pouchard;Mallory;Pouchard;NIEUWERKERKEN;BE
Bertrand Blanc;Bertrand;Blanc;JOUÉ-LÈS-TOURS;FR
Hugues Giguère;Hugues;Giguère;MAISIÈRES;BE
Auda Courtemanche;Auda;Courtemanche;ESSERTINES-SUR-ROLLE;CH
Gaetan Authier;Gaetan;Authier;TINTIGNY;BE
Olympia Bergeron;Olympia;Bergeron;PARIS;FR
Tilly Bourget;Tilly;Bourget;CRÉTEIL;FR
Maryse Echeverri;Maryse;Echeverri;SINSIN;BE
Odette DuLin;Odette;DuLin;LYON;FR
Xavier Chartier;Xavier;Chartier;HAM;BE
Evrard Cressac;Evrard;Cressac;GRENOBLE;FR
Eloise Baril;Eloise;Baril;CIMADERA;CH
Olivier Beaudry;Olivier;Beaudry;MARSEILLE;FR
Germain Voisine;Germain;Voisine;MEINISWIL;CH
Nouel Couturier;Nouel;Couturier;VEX;CH
Benjamin Bossé;Benjamin;Bossé;WACHTEBEKE;BE
Marcel Paquet;Marcel;Paquet;VILLENEUVE-SAINT-GEORGES;FR
Serge Charpentier;Serge;Charpentier;BAUDOUR;BE
Anastasie Deschamps;Anastasie;Deschamps;MONTLUÇON;FR
Royce Michel;Royce;Michel;MONTPELLIER;FR
Paien Asselin;Paien;Asselin;AUCH;FR
Sibyla Fluet;Sibyla;Fluet;GHOY;BE
Raina Vaillancourt;Raina;Vaillancourt;WEERDE;BE
Capucine Simard;Capucine;Simard;LILLE;FR
Clementine Compagnon;Clementine;Compagnon;MATHOD;CH
Calandre Vallée;Calandre;Vallée;OBERRÜTI;CH
Maurice Maheu;Maurice;Maheu;LE CREUSOT;FR
Isaac Godin;Isaac;Godin;SÉLANGE;BE
Armina Bonami;Armina;Bonami;HÄGGLINGEN;CH
Oliver Busque;Oliver;Busque;DOHAN;BE
Christian Poisson;Christian;Poisson;MARSEILLE;FR
Royce Soucy;Royce;Soucy;CANNES;FR
Thérèse Jacques;Thérèse;Jacques;EMMENBRÜCKE;CH
Baptiste Miron;Baptiste;Miron;DESSELGEM;BE
Agramant Fugère;Agramant;Fugère;VERS-L'EGLISE;CH
Virginie Allain;Virginie;Allain;RAMSEL;BE
Océane Goudreau;Océane;Goudreau;CHOLET;FR
Hugh Souplet;Hugh;Souplet;ROMAINVILLE;FR
Florismart Reault;Florismart;Reault;OPBRAKEL;BE
Germaine Bilodeau;Germaine;Bilodeau;SINT-JAN;BE
Eulalie Mercure;Eulalie;Mercure;ITTERBEEK;BE
Guerin Cinq-Mars;Guerin;Cinq-Mars;COLOMBES;FR
Geoffrey Gousse;Geoffrey;Gousse;GENÈVE;CH
Mignonette Roussel;Mignonette;Roussel;BERZONA;CH
Mason Bergeron;Mason;Bergeron;AUVERNIER;CH
Gaston Arcouet;Gaston;Arcouet;WOLFENSCHIESSEN;CH
Aleron Rocher;Aleron;Rocher;NETTINNE;BE
Brice Duclos;Brice;Duclos;HELDERGEM;BE
Vick Pitre;Vick;Pitre;NOVAZZANO;CH
Archard Course;Archard;Course;LOSTORF;CH
Marcelle Talon;Marcelle;Talon;MILLAU;FR
Jolie Sanschagrin;Jolie;Sanschagrin;KALTENHERBERG;CH
Tristan Rochefort;Tristan;Rochefort;BÄTTWIL;CH
Odelette Duplessis;Odelette;Duplessis;PÉRUWELZ;BE
Iva L'Angelier;Iva;L'Angelier;NANCY;FR
Jacqueline St-Pierre;Jacqueline;St-Pierre;TERALFENE;BE
Neville Simard;Neville;Simard;ATHIS;BE
Vachel Martineau;Vachel;Martineau;ROMERÉE;BE
Damiane Lavoie;Damiane;Lavoie;CREIL;FR
Aurélie Bossé;Aurélie;Bossé;CLICHY;FR
Sargent Frappier;Sargent;Frappier;VILLARS-BRAMARD;CH
Dominique Querry;Dominique;Querry;WITIKON;CH
Vedette Trudeau;Vedette;Trudeau;MOLENBEERSEL;BE
Harbin D'Aubigné;Harbin;D'Aubigné;SAINT-LAURENT-DU-VAR;FR
Aurélie Chauvin;Aurélie;Chauvin;LANAKEN;BE
Sabine Émond;Sabine;Émond;ALLMENDEN;CH
Agrican Lamoureux;Agrican;Lamoureux;BOIS-COLOMBES;FR
Beaufort Dupéré;Beaufort;Dupéré;TULLE;FR
Pierpont Cuillerier;Pierpont;Cuillerier;MARSEILLE;FR
Aiglentina Des Meaux;Aiglentina;Des Meaux;LA CELLE-SAINT-CLOUD;FR
Aimé Grignon;Aimé;Grignon;SAINT-PAUL;FR
Élise Huppé;Élise;Huppé;ORLÉANS;FR
Annot Quessy;Annot;Quessy;KOBBEGEM;BE
Eugène Gilbert;Eugène;Gilbert;LUGANO;CH
Joséphine Giroux;Joséphine;Giroux;SAINT-MAUR-DES-FOSSÈS;FR
Vick Lafontaine;Vick;Lafontaine;PLOEGSTEERT;BE
Troy Guérette;Troy;Guérette;TANNE;CH
Courtland Landry;Courtland;Landry;RUDDERVOORDE;BE
Scoville Bérard;Scoville;Bérard;AAIGEM;BE
Louis Sauriol;Louis;Sauriol;LAUW;BE
Zurie Bourgouin;Zurie;Bourgouin;BRUSSEL;BE
Quennel Bourdette;Quennel;Bourdette;ZOERSEL;BE
Jean Berthiaume;Jean;Berthiaume;HOLZIKEN;CH
Vernon Ruais;Vernon;Ruais;MONTBÉLIARD;FR
Malagigi Batard;Malagigi;Batard;ROHRBACHGRABEN;CH
Pascaline Goulet;Pascaline;Goulet;TÜSCHERZ-ALFERMÉE;CH
Vincent Cailot;Vincent;Cailot;BASEL;CH
Byron Chabot;Byron;Chabot;EGGERSTANDEN;CH
Georges Baron;Georges;Baron;RENINGELST;BE
Dorothée Gaillard;Dorothée;Gaillard;BLOIS;FR
Ancelina Léveillé;Ancelina;Léveillé;AIX-EN-PROVENCE;FR
Aleron Lagacé;Aleron;Lagacé;LA GARENNE-COLOMBES;FR
Carolos Cyr;Carolos;Cyr;UNTERLUNKHOFEN;CH
Auriville Lebrun;Auriville;Lebrun;MÉRIGNAC;FR
Dominic Lacharité;Dominic;Lacharité;AIX-EN-PROVENCE;FR
Geneviève Guertin;Geneviève;Guertin;CROIX;FR
Sennet Blondlot;Sennet;Blondlot;WARNANT-DREYE;BE
Bayard Barteaux;Bayard;Barteaux;PARIS;FR
Delphine Melanson;Delphine;Melanson;CLERMONT-SOUS-HUY;BE
Patricia Durand;Patricia;Durand;FRIBOURG;CH
Fleurette Dumont;Fleurette;Dumont;WINTERTHUR;CH
Bernadette Grignon;Bernadette;Grignon;BONNERT;BE
Pascal Croteau;Pascal;Croteau;WARDIN;BE
Guerin Arsenault;Guerin;Arsenault;SILS IM DOMLESCHG;CH
Bernadette Gaillard;Bernadette;Gaillard;MARSEILLE;FR
Frontino Houde;Frontino;Houde;MÉAN;BE
Millard Sauvé;Millard;Sauvé;PARIS;FR
Brier Aucoin;Brier;Aucoin;FRASNES-LEZ-GOSSELIES;BE
Aleron Ayot;Aleron;Ayot;DIZY;CH
Aiglentina Gamelin;Aiglentina;Gamelin;RIGGISBERG;CH
Melville Charpie;Melville;Charpie;AGDE;FR
Matthieu Coupart;Matthieu;Coupart;VERMES;CH
Agrican Fontaine;Agrican;Fontaine;VIÉGE;CH
Gano Roy;Gano;Roy;SCHALTIN;BE
Ferrau Huard;Ferrau;Huard;PARIS;FR
Vick Lépicier;Vick;Lépicier;KWAADMECHELEN;BE
Gustave Fortier;Gustave;Fortier;NOUMÉA;FR
Faye Émond;Faye;Émond;ANGERS;FR
Dominique Robert;Dominique;Robert;RÈVES;BE
Telford Aubin;Telford;Aubin;BERTRIX;BE
Melville Dupont;Melville;Dupont;LÜTERKOFEN;CH
Campbell Chandonnet;Campbell;Chandonnet;VODECÉE;BE
Thiery Desroches;Thiery;Desroches;LODRINO;CH
Marjolaine Denis;Marjolaine;Denis;LA POSSESSION;FR
Denis Charpentier;Denis;Charpentier;LYON;FR
Babette Bélair;Babette;Bélair;SAMBREVILLE;BE
Jeanette Salois;Jeanette;Salois;ALBEUVE;CH
Pensee Souplet;Pensee;Souplet;CLERMONT-SOUS-HUY;BE
Didier Guernon;Didier;Guernon;BRUSSEGEM;BE
Gano Leclair;Gano;Leclair;LAVEY LES BAINS;CH
Angelique Gamelin;Angelique;Gamelin;BÄTTWIL;CH
Holly Vadnais;Holly;Vadnais;SARREGUEMINES;FR
Alexandre Jalbert;Alexandre;Jalbert;EICHHOLZ;CH
Inès Cuillerier;Inès;Cuillerier;TOULON;FR
Christabel Lacharité;Christabel;Lacharité;GALGENEN;CH
Felicien LaCaille;Felicien;LaCaille;FELDI;CH
Grégoire Lamare;Grégoire;Lamare;GOUY-LEZ-PIÉTON;BE
Colette Deserres;Colette;Deserres;ELLEZELLES;BE
Roch Blondlot;Roch;Blondlot;MARSEILLE;FR
Aimée Leroux;Aimée;Leroux;LE CANNET;FR
Lance Beauchesne;Lance;Beauchesne;LE PERREUX-SUR-MARNE;FR
Anaïs Bérubé;Anaïs;Bérubé;CORBEYRIER;CH
Nicolette Plante;Nicolette;Plante;SAINTE-MARIE;FR
Isaac Beauchesne;Isaac;Beauchesne;SAINTE-ANNE;FR
Melusina Pouchard;Melusina;Pouchard;COLMAR;FR
Soren Gladu;Soren;Gladu;ROMAINVILLE;FR
Sydney Laprise;Sydney;Laprise;LE CANNET;FR
Pénélope Martin;Pénélope;Martin;ST. ANTON;CH
Malagigi Boucher;Malagigi;Boucher;TAINTIGNIES;BE
Genevre Pouliotte;Genevre;Pouliotte;HOUYET;BE
Franck Fecteau;Franck;Fecteau;OLIVET;FR
Beaufort Dubé;Beaufort;Dubé;LAMPERNISSE;BE
Marsilius Verreau;Marsilius;Verreau;CRESSIER;CH
Perrin De La Ronde;Perrin;De La Ronde;BOUSVAL;BE
Genevre Dodier;Genevre;Dodier;WATTWIL;CH
Fealty Hachée;Fealty;Hachée;CHATOU;FR
Arlette Gregoire;Arlette;Gregoire;BÄTTERKINDEN;CH
Arridano Abril;Arridano;Abril;ESCHI;CH
Latimer Majory;Latimer;Majory;PERREFITTE;CH
Langley Barrette;Langley;Barrette;GLABBEEK;BE
Astolpho Marquis;Astolpho;Marquis;ÉPERNAY;FR
Cerise St-Jacques;Cerise;St-Jacques;ENTLEBUCH;CH
Amber Querry;Amber;Querry;ZÜRICH;CH
Gabriel Barteaux;Gabriel;Barteaux;CHAMPS-SUR-MARNE;FR
Jeanne Dodier;Jeanne;Dodier;MONTPELLIER;FR
Mandel Roux;Mandel;Roux;BOLLINGEN;CH
Aya Dupéré;Aya;Dupéré;SION;CH
Annette LaGrande;Annette;LaGrande;LA CELLE-SAINT-CLOUD;FR
Forrest Mercure;Forrest;Mercure;EZEMAAL;BE
Frédérique Tétrault;Frédérique;Tétrault;BOULOGNE-BILLANCOURT;FR
Yolande Gamelin;Yolande;Gamelin;FONTENAY-SOUS-BOIS;FR
Fanette Rochefort;Fanette;Rochefort;DÉCINES-CHARPIEU;FR
Somer Maheu;Somer;Maheu;RAFZ;CH
Laverne Richard;Laverne;Richard;VALEYRES-SOUS-RANCES;CH
Bellamy Lagueux;Bellamy;Lagueux;CHARTRES;FR
Ermengardi Charron;Ermengardi;Charron;SAVIÈSE;CH
Alain Sanschagrin;Alain;Sanschagrin;WILEN;CH
Carole Paré;Carole;Paré;AWIRS;BE
Alphonsine Savoie;Alphonsine;Savoie;MAUBEUGE;FR
Clarice Blanchard;Clarice;Blanchard;ROUVROY;BE
Pryor Bourgeois;Pryor;Bourgeois;LOMPRET;BE
Parfait Paimboeuf;Parfait;Paimboeuf;SURIN;CH
Adèle Turcotte;Adèle;Turcotte;LE BRASSUS;CH
Merlin De La Ronde;Merlin;De La Ronde;HALANZY;BE
Ray Dufresne;Ray;Dufresne;SAINT-ÉTIENNE;FR
Charles Desjardins;Charles;Desjardins;ST-SÉVERIN;CH
Yvette Parent;Yvette;Parent;WADELINCOURT;BE
Audrey Therrien;Audrey;Therrien;GUIRSCH;BE
Florismart Perreault;Florismart;Perreault;CORBEIL-ESSONNES;FR
Hamilton Vadeboncoeur;Hamilton;Vadeboncoeur;AALTER;BE
Halette Sansouci;Halette;Sansouci;WICHELEN;BE
Hélène Dufresne;Hélène;Dufresne;NODEBAIS;BE
Corinne Bilodeau;Corinne;Bilodeau;HASLE;CH
Gaetan Saucier;Gaetan;Saucier;BONDY;FR
Caresse Hachée;Caresse;Hachée;PARIS;FR
Honoré Vaillancourt;Honoré;Vaillancourt;TOERNICH;BE
Allyriane Riquier;Allyriane;Riquier;PONTOISE;FR
Nicolette Bellefeuille;Nicolette;Bellefeuille;LIÈGE;BE
Fortun de Launay;Fortun;de Launay;LÜTZELAU;CH
Claude Beaujolie;Claude;Beaujolie;AIGLE;CH
Constance St-Jean;Constance;St-Jean;PARIS;FR
Blanche Chnadonnet;Blanche;Chnadonnet;FOUGÈRES;FR
Théodore LaGrande;Théodore;LaGrande;CHIGGIOGNA;CH
Millard Riquier;Millard;Riquier;NICE;FR
Romaine Beauchamp;Romaine;Beauchamp;MENDE;FR
Ferragus Rochefort;Ferragus;Rochefort;SAINT-LÔ;FR
Joanna Forest;Joanna;Forest;ONHAYE;BE
Auda Cormier;Auda;Cormier;SIAT;CH
Suzette Lapierre;Suzette;Lapierre;SESSA;CH
Burnell Laforest;Burnell;Laforest;LA COURNEUVE;FR
Elita Lamarre;Elita;Lamarre;WERMATSWIL;CH
Mallory Devost;Mallory;Devost;MÜHLAU;CH
Virginie Boisclair;Virginie;Boisclair;WITTENWIL;CH
Olympia Marier;Olympia;Marier;LIBRAMONT-CHEVIGNY;BE
Byron Dufour;Byron;Dufour;TREIGNES;BE
Davet Salmons;Davet;Salmons;AUBERVILLIERS;FR
Édouard Duval;Édouard;Duval;GRANDE-SYNTHE;FR
Fanette Covillon;Fanette;Covillon;NOUMÉA;FR
Roch Charpie;Roch;Charpie;VILLERS-SAINT-GHISLAIN;BE
Brigliador Gauvin;Brigliador;Gauvin;PIERREFITTE-SUR-SEINE;FR
Azura Soucy;Azura;Soucy;WEZEREN;BE
Platt Bourdette;Platt;Bourdette;BASEL;CH
Paige Dufresne;Paige;Dufresne;CHAMPIGNY-SUR-MARNE;FR
Harcourt LaGrande;Harcourt;LaGrande;NANTERRE;FR
Roland Louineaux;Roland;Louineaux;WESTVLETEREN;BE
Margaux Charpentier;Margaux;Charpentier;ADINKERKE;BE
Véronique Bourgouin;Véronique;Bourgouin;OPGRIMBIE;BE
Guerin Douffet;Guerin;Douffet;QUEVAUCAMPS;BE
Bernard Barteaux;Bernard;Barteaux;CONTHEY;CH
Donatien Ratté;Donatien;Ratté;KAPPELEN;CH
Caresse Deschênes;Caresse;Deschênes;JUCHER;CH
Roslyn Bourassa;Roslyn;Bourassa;WASMES-AUDEMEZ-BRIFFOEIL;BE
Gay CinqMars;Gay;CinqMars;PREGASSONA;CH
Baptiste Simard;Baptiste;Simard;RETIE;BE
Raison Lamontagne;Raison;Lamontagne;AYE;BE
Florus Majory;Florus;Majory;KILCHBERG;CH
Cécile Demers;Cécile;Demers;CHARTRES;FR
Onfroi Corbin;Onfroi;Corbin;HATTENHAUSEN;CH
Travers Quinn;Travers;Quinn;LOVERVAL;BE
Mayhew Bonneville;Mayhew;Bonneville;SCHARANS;CH
Jeoffroi Cressac;Jeoffroi;Cressac;COURLEVON;CH
Arthur Huard;Arthur;Huard;BRUSSEL;BE
Porter Gagné;Porter;Gagné;SORTE;CH
Clarimunda Dagenais;Clarimunda;Dagenais;MÖRSCHWIL;CH
Xarles Cyr;Xarles;Cyr;TOLOCHENAZ;CH
Fletcher Berthelette;Fletcher;Berthelette;GUTSCHOVEN;BE
Eliot Rochon;Eliot;Rochon;LEUKERBAD;CH
Amorette Lamy;Amorette;Lamy;SARZENS;CH
Bellamy LaGrande;Bellamy;LaGrande;BOUFFIOULX;BE
Robinette Chabot;Robinette;Chabot;ARGENTEAU;BE
Curtis Rivière;Curtis;Rivière;ROMAINMÔTIER;CH
Marthe Édouard;Marthe;Édouard;ROCOURT;BE
Erembourg Hervieux;Erembourg;Hervieux;DUNKERQUE;FR
Rabican Grondin;Rabican;Grondin;SPA;BE
Albertine Brasseur;Albertine;Brasseur;OTTISWIL;CH
Hardouin Sansouci;Hardouin;Sansouci;MARTHERENGES;CH
Vedette De La Vergne;Vedette;De La Vergne;BETTWIESEN;CH
Raoul Clavet;Raoul;Clavet;BASSE-TERRE;FR
Crescent Guernon;Crescent;Guernon;HENNUYÈRES;BE
Dexter Bourdette;Dexter;Bourdette;DIGNE-LES-BAINS;FR
Dominique Guérette;Dominique;Guérette;MONTMORENCY;FR
Élisabeth Goguen;Élisabeth;Goguen;ROUBAIX;FR
Valentine Lesage;Valentine;Lesage;CORMÉROD;CH
Robinette Caisse;Robinette;Caisse;PORT;CH
Christophe Pelchat;Christophe;Pelchat;LANGRICKENBACH;CH
Delmar D'Aoust;Delmar;D'Aoust;LUMBREIN;CH
Genevre de Launay;Genevre;de Launay;SCHLANS;CH
Honoré Lampron;Honoré;Lampron;ISTRES;FR
Amélie Godin;Amélie;Godin;BASEL;CH
Byron Berie;Byron;Berie;LIÈGE;BE
Blanchefle Raymond;Blanchefle;Raymond;OOSTKERKE;BE
Michèle Adler;Michèle;Adler;RIKEN;CH
Rule Bordeleau;Rule;Bordeleau;WIESENDANGEN;CH
Rabican Michel;Rabican;Michel;POLLEUR;BE
Louis Caisse;Louis;Caisse;ALLENLÜFTEN;CH
Clothilde Lamarre;Clothilde;Lamarre;SILENRIEUX;BE
Bruce Asselin;Bruce;Asselin;HOUTAIN-LE-VAL;BE
Cécile de Brisay;Cécile;de Brisay;TREIGNES;BE
La Roux Petit;La Roux;Petit;PERREFITTE;CH
Vick Labonté;Vick;Labonté;EKSEL;BE
Faustin Veronneau;Faustin;Veronneau;WATERVLIET;BE
Telford Faucher;Telford;Faucher;SANNOIS;FR
Blanche Trottier;Blanche;Trottier;DÄTTWIL;CH
Fabrice Parenteau;Fabrice;Parenteau;SCHWANDEN;CH
Michèle Pomerleau;Michèle;Pomerleau;CAGNES-SUR-MER;FR
Valentine Trudeau;Valentine;Trudeau;PARIS;FR
Delit Mainville;Delit;Mainville;BASTIA;FR
Fantina Beaulé;Fantina;Beaulé;NEU ST. JOHANN;CH
Vachel Coudert;Vachel;Coudert;SALMSACH;CH
Bartlett Brisette;Bartlett;Brisette;BERIKON;CH
Dixie Caya;Dixie;Caya;FONTAINE;FR
Neville Grivois;Neville;Grivois;VITRY-SUR-SEINE;FR
Parfait Bériault;Parfait;Bériault;DAUSSOULX;BE
Pénélope Grimard;Pénélope;Grimard;FOIX;FR
Laure Dubois;Laure;Dubois;LIVES-SUR-MEUSE;BE
Marine Bonenfant;Marine;Bonenfant;LAVAL;FR
Charline Sorel;Charline;Sorel;AFSNEE;BE
Morgana Petrie;Morgana;Petrie;UNTERLANGENEGG;CH
Sacripant Caisse;Sacripant;Caisse;MOXHE;BE
Travers Duplanty;Travers;Duplanty;PIANDERA;CH
Jessamine Boucher;Jessamine;Boucher;CARCASSONNE;FR
Alaine Lafrenière;Alaine;Lafrenière;BLONAY;CH
Armand Renaud;Armand;Renaud;QUÉVY-LE-GRAND;BE
Maryse Labbé;Maryse;Labbé;GUARDA;CH
Fantina LaCaille;Fantina;LaCaille;GRASSE;FR
Fabrice Chandonnet;Fabrice;Chandonnet;CHOISY-LE-ROI;FR
Yolette Audet;Yolette;Audet;OBER SCHNEISINGEN;CH
Warrane Archambault;Warrane;Archambault;EMMETTEN;CH
Saville Gauthier;Saville;Gauthier;TOULON;FR
Paige Couet;Paige;Couet;OOSTEEKLO;BE
Fiacre Deblois;Fiacre;Deblois;BOVENISTIER;BE
Édouard Audet;Édouard;Audet;BANDE;BE
Élise Tessier;Élise;Tessier;'S GRAVENWEZEL;BE
Sébastien Varieur;Sébastien;Varieur;KAASKERKE;BE
Rosemarie Francoeur;Rosemarie;Francoeur;SINT-ULRIKS-KAPELLE;BE
Satordi Quenneville;Satordi;Quenneville;LA MADELEINE;FR
Gaspar Rivard;Gaspar;Rivard;RIEDT;CH
Prunella Lazure;Prunella;Lazure;WESTROZEBEKE;BE
Melville Primeau;Melville;Primeau;MONTFERMEIL;FR
Léon Bernard;Léon;Bernard;BERENDRECHT;BE
Nanna Durand;Nanna;Durand;CACHAN;FR
Guillaume Labrie;Guillaume;Labrie;OLSENE;BE
Benoît Foucault;Benoît;Foucault;ENTLEBUCH;CH
Christelle Tachel;Christelle;Tachel;FALERA;CH
Marie Léveillé;Marie;Léveillé;CRISSIER;CH
Xavier Vadnais;Xavier;Vadnais;BIGENTHAL;CH
Annot L'Heureux;Annot;L'Heureux;LENS-SAINT-REMY;BE
Inès Garreau;Inès;Garreau;FOURON-LE-COMTE;BE
Ruby Quenneville;Ruby;Quenneville;FRAITURE;BE
Jesper Fugère;Jesper;Fugère;DAVOS;CH
Luc Miron;Luc;Miron;ASNIÈRES-SUR-SEINE;FR
Marphisa Gaulin;Marphisa;Gaulin;OESELGEM;BE
Adrien Frappier;Adrien;Frappier;VILLEFRANCHE-SUR-SAÔNE;FR
Amorette Crête;Amorette;Crête;RAEREN;BE
Anastasie Bourgouin;Anastasie;Bourgouin;MÖRIKEN-WILDEGG;CH
Gilles Charron;Gilles;Charron;ELLEMELLE;BE
Peverell Vallée;Peverell;Vallée;MONTAGNOLA;CH
Varden Compagnon;Varden;Compagnon;BOURGES;FR
Camille Bouvier;Camille;Bouvier;MARSEILLE;FR
Alacoque L'Anglais;Alacoque;L'Anglais;BERLINGEN;BE
Aleron Grondin;Aleron;Grondin;OBERRIED;CH
Didiane Maheu;Didiane;Maheu;MARTIGUES;FR
Laurette Piedalue;Laurette;Piedalue;INNERFERRERA;CH
Octave Chicoine;Octave;Chicoine;LIÉVIN;FR
Fusberta Vernadeau;Fusberta;Vernadeau;ROESBRUGGE-HARINGE;BE
Brie Tougas;Brie;Tougas;DOTTIGNIES;BE
Fayme Montminy;Fayme;Montminy;FORRIÈRES;BE
Dominic Hachée;Dominic;Hachée;OBERLINDACH;CH
Alfred Ratté;Alfred;Ratté;PONTOISE;FR
Amedee Bernard;Amedee;Bernard;SCHINDLET;CH
Archaimbau LaGrande;Archaimbau;LaGrande;CALAIS;FR
Tabor Édouard;Tabor;Édouard;CHERMIGNON;CH
Alfred Cormier;Alfred;Cormier;WINTERSCHWIL;CH
Senior Boncoeur;Senior;Boncoeur;BOVENISTIER;BE
Aceline Bériault;Aceline;Bériault;CHIMAY;BE
Bruce Chabot;Bruce;Chabot;LAUFENBURG;CH
Parfait Sansouci;Parfait;Sansouci;KETTENIS;BE
Hedvige Roussel;Hedvige;Roussel;HABERGY;BE
Auda Jobin;Auda;Jobin;OETWIL AM SEE;CH
Kari Tanguay;Kari;Tanguay;CASTILLON;BE
Searlas Cotuand;Searlas;Cotuand;BREIL/BRIGELS;CH
Saber Bizier;Saber;Bizier;BELPBERG;CH
Octave Lepage;Octave;Lepage;SARCELLES;FR
Byron Marceau;Byron;Marceau;AIROLO;CH
Danielle L'Heureux;Danielle;L'Heureux;SCHÖNBERG;BE
Nicolas Lamothe;Nicolas;Lamothe;LOKER;BE
Chapin Goudreau;Chapin;Goudreau;OBER WALDSTATT;CH
Cheney Paiement;Cheney;Paiement;LOËX;CH
Paul Pirouet;Paul;Pirouet;KERKOM;BE
Chandler Veronneau;Chandler;Veronneau;MAMOUDZOU;FR
Camille Parizeau;Camille;Parizeau;NEVERS;FR
Platt Loiseau;Platt;Loiseau;ISSY-LES-MOULINEAUX;FR
Alphonsine Duhamel;Alphonsine;Duhamel;SOYE;BE
Adèle Pelland;Adèle;Pelland;DURAS;BE
Gabriel Renaud;Gabriel;Renaud;MIELEN-BOVEN-AALST;BE
Belle Vadeboncoeur;Belle;Vadeboncoeur;ECAUSSINNES-LALAING;BE
Michel Vadeboncoeur;Michel;Vadeboncoeur;THOREMBAIS-LES-BÉGUINES;BE
Christien Bérubé;Christien;Bérubé;BENZENSCHWIL;CH
Bruno Doyon;Bruno;Doyon;LINTHAL;CH
Troy Létourneau;Troy;Létourneau;NINOVE;BE
Melodie Labrie;Melodie;Labrie;FERNELMONT;BE
Olivie Cyr;Olivie;Cyr;SULZ;CH
Vachel Laprise;Vachel;Laprise;MONT-DE-MARSAN;FR
Diane Labbé;Diane;Labbé;SORÉE;BE
Maryse Moïse;Maryse;Moïse;KALLO;BE
Aubine Sorel;Aubine;Sorel;NIEDERSTETTEN;CH
Eugène Gosselin;Eugène;Gosselin;LUINS;CH
Gilbert Bertrand;Gilbert;Bertrand;BORDEAUX;FR
Yseult Duplessis;Yseult;Duplessis;CHAMPS-SUR-MARNE;FR
Zoé Paiement;Zoé;Paiement;HINTERBURG;CH
Monique Saindon;Monique;Saindon;VÉNISSIEUX;FR
Sargent Couet;Sargent;Couet;PESSOUX;BE
Alphonsine Guertin;Alphonsine;Guertin;MAYENS-DE-RIDDES;CH
Anouk Devost;Anouk;Devost;PÉRIGUEUX;FR
Delmare Fugère;Delmare;Fugère;BETTNAU;CH
Gallia Verreau;Gallia;Verreau;CHAMPLON;BE
Edmee Richard;Edmee;Richard;VILLENEUVE-LA-GARENNE;FR
Florismart Melanson;Florismart;Melanson;BATTICE;BE
Mallory Jalbert;Mallory;Jalbert;LANESTER;FR
Fanette Tanguay;Fanette;Tanguay;SAINT-MÉDARD-EN-JALLES;FR
Paige Couture;Paige;Couture;REICHENBURG;CH
Aubert Begin;Aubert;Begin;SAINT-PIERRE;FR
Clementine Lemelin;Clementine;Lemelin;ST. STEPHAN;CH
Peverell Louis;Peverell;Louis;WIJNEGEM;BE
Amber Thibault;Amber;Thibault;VAL-MEER;BE
Travers Briard;Travers;Briard;MARSEILLE;FR
Florismart Roussel;Florismart;Roussel;LA VARENNE-SAINT-HILAIRE;FR
Clovis Bousquet;Clovis;Bousquet;VICHY;FR
